주소,본문
http://v.media.daum.net/v/20210819190006502," 
         
          
           편집자주
           가속화한 인공지능 시대. 인간 모두를 위한, 인류 모두를 위한 AI를 만드는 방법은? AI 신기술과 그 이면의 문제들, 그리고 이를 해결할 방법과 Good AI의 필요충분조건
          
          
           
           
            ©게티이미지뱅크
           
          
          최근 ‘인공지능 윤리’라는 단어가 여기저기 많이 등장하고 있다. 왜 ‘인공지능’이라는 단어 뒤에 ‘윤리’라는 단어가 붙게 된 걸까? 도대체 ‘인공지능 윤리(AI Ethics)’는 무엇일까?
          작년과 올해 한 TV 방송 프로그램에서 가상현실(VR) 기술을 이용하여 고인이 된 자식과 다시 만나고, 사별한 아내와 다시 만나보는 프로그램을 방송한 적이 있다. VR와 AI 기술을 이용하여 고인의 모습을 살아있는 것처럼 구현한 것인데, 많은 시청자들이 큰 감동을 받아 화제가 되었다. 또 한 프로그램에서는 고인이 된 가수들의 목소리를 AI 기술을 통해 살려내어 그 가수가 생전에 부르지 않았던 노래를 실제처럼 부르는 장면을 선보이기도 했다. 
          우리는 이런 장면을 보면서 너무나 감동하고 놀라면서도 한편으로는 뭔가 불편하고 찜찜하고, 나아가 두려움이 느껴지기도 한다. 이러한 불편한 느낌이 드는 이유가 무엇일까? 바로 ‘인공지능 윤리’ 때문이다.
          우리는 ‘냉장고 윤리’, ‘세탁기 윤리’, ‘텔레비전 윤리’라는 말을 쓰지는 않는다. 그런데 ‘인공지능 윤리’, ‘로봇 윤리’라는 말은 많이 쓰이고 있다. 그것은 인공지능과 로봇이 바로 ‘자율성’을 갖기 때문이다. 스스로 판단하고 결정하고 행동하는 ‘자율성’을 갖는 존재는 인간과 함께 공존하려면 반드시 ‘윤리’가 필요하기 때문이다. 그렇지 않으면 그러한 자율적 존재가 인간에게 어떤 영향을 미칠지, 어떤 행위를 하게 될지 매우 불확실해지게 된다.
          하지만 인공지능과 로봇이 윤리를 지키고 윤리의식을 갖도록 만드는 것만 인공지능 윤리를 뜻하는 것은 아니다. 인공지능 윤리는 우리가 인공지능을 만들고 사용하는 데 있어 발생할 수 있는 모든 윤리적, 도덕적 문제들, 그리고 그러한 문제들을 해결하는 방안까지 모두 포함하는 개념이라고 볼 수 있다.
          최근 인공지능 기술이 급격히 발전하면서 인공지능을 만들고 활용하는 데 많은 문제들이 발생하고 있다. 물론 모든 기술의 이면에는 위험성과 부작용이 있다. 인간이 기술의 혜택을 누리기 위해서는 일정 수준 감내해야 하기도 한다. 하지만 인공지능 기술의 위험성과 부작용은 타 기술의 감내 수준을 훨씬 뛰어넘을 수 있다. 인공지능 기술이 갖는 자율성으로 인해 인간에게 미치는 영향이 막대할 수 있기 때문이다.
          현재까지 발생한 다수의 인공지능 위험성, 부작용 사례들을 분석해보면 총 5가지로 요약이 된다. AI의 편향성 문제, AI의 오류와 안전성 문제, AI의 악용 문제, 개인정보보호 문제, 킬러로봇 문제 등이다. 물론 현재도 인공지능 기술은 계속 발전 중이므로 또 다른 신기술이 개발되면 그에 따른 새로운 윤리적 문제가 계속 나타날 수 있다.
          본 칼럼 '모두를 위한 AI'에서는 현재까지 발생한 위의 5가지 인공지능 윤리의 주요 이슈들을 다양한 사례를 중심으로 함께 공유하고 고민해보고자 한다. 그리고 아직 나타나지는 않았지만 가까운 미래에 도래할 수 있는 인공지능 윤리 문제들도 함께 생각해 보고자 한다.
          최근 세계적인 AI 석학인 미국 버클리대학의 스튜어트 러셀 교수가 국내 한 언론사와 가진 인터뷰에서 이런 말을 했다. “우리는 인공지능의 위험성을 해결하지 못하는 한 인공지능의 혜택을 누릴 수 없다.”
          모두를 위한 AI를 만들기 위해서는 인공지능의 위험성과 부작용 문제를 해결해야 한다. 하지만 너무 겁먹거나 두려워할 필요는 없다. 아직 인공지능 기술도, 인공지능 시장도 초창기이기 때문에 지금부터 우리가, 전 세계가 이러한 인식을 갖게 된 것만 해도 매우 고무적인 일이다. 이제 다 함께 우리 모두를 위한 AI를 만들어 갈 시간이다.
          
           
          
          전창배 한국인공지능윤리협회 이사장·㈜아이오냅 대표
          
         
        "
http://v.media.daum.net/v/20210903105715535," 
         
          
           
           
            신현상 입학관리본부장
           
          
          서울과학기술대학교는 서울소재 국립 종합대학교이며, 2022학년도 전체 모집인원 2,384명의 약 63%인 1,503명을 수시모집한다. 전형별 모집인원은 고교추천전형 433명, 학생부종합전형 785명, 논술전형 217명, 실기전형 68명이다. 
          학생부종합전형에는 학교생활우수자전형과 고른기회전형, 올해 신설되는 첨단인재전형이 있다. 
          올해 전형은 전년 대비 많은 변화가 있다. 학생부교과전형이 고교추천전형으로 변경되고, 정시선발 비중을 확대했다. 인문계열 논술고사가 폐지되면서 학생부종합전형과 논술전형의 모집인원이 소폭 줄었다. 자기소개서 항목은 2개 문항 2,300자로 간소화했고, 소프트웨어인재전형이 폐지됐다.
          전년도와 마찬가지로 고교추천전형을 제외한 모든 전형에서 수능최저학력기준이 없다. 전형 간 복수지원은 가능하다. 고교추천전형은 학생부교과 100%로 선발하고 수능최저학력기준이 있다.
          학생부종합전형 중 학교생활우수자전형(343명)은 1단계는 서류 100%로 3배수를 선발하고, 2단계는 1단계 성적 70%과 면접 30%를 합산해 합격자를 선발한다. 
          고른기회전형은 국가보훈대상자 27명, 기회균형 56명, 평생학습자 72명을 선발하며, 정원외 고른기회 전형으로 농어촌학생 59명, 특성화고 등 졸업 재직자 168명을 선발한다. 전형은 학교생활우수자전형과 같다.
          신설된 첨단인재전형(60명)은 창의융합대학 소속 학과로 인공지능응용학과 30명, 지능형반도체공학과 15명, 미래에너지융합학과 15명을 뽑는다. 
          논술전형은 학생부교과 30%+논술 70%로 선발하며, 시험시간은 100분이다. 
          조형대학 실기전형은 1단계는 학생부교과 100%로 10배수를 압축하고, 2단계는 실기 100%로 합격자를 선발한다. 
          원서접수는 10일부터 14일까지다.
          
         
        "
http://v.media.daum.net/v/20210831154007242," 
         
          
           
           
            김대권 수성구청장이 30일 수성구청 2층 회의실에서 스마트시티 계획 수립을 위한 용역 착수 보고회에 참석, 관련 사안을 확인하고 있다. 수성구청 제공.
           
          
          대구 수성구가 스마트시티 조성사업을 위한 용역 착수보고회를 개최했다고 31일 밝혔다.
          스마트시티는 수성구에 특화된 지능형 도시 서비스 발굴 및 인프라를 조성하는 사업이다. 스마트시티 전략과 추진 체계를 확립, 지능형 도시 서비스 발굴 및 인프라 조성하는 것이 복안이다.
          수성구에 따르면 30일 김대권 구청장과 용역업체 관계자, 정보통신, 정책추진, 기획예산 등 관련 부서장이 참석해 관련 사안에 대해 논의했다.
          스마트시티가 도입되면 홍수, 폭염, 폭설 등에 대비, 관련 수치 데이터를 수집하고 분석해 재난 예측이 가능한데다 복지 수요도 파악해 스마트 서비스를 통한 행정 서비스도 가능하다.
          김 청장은 ""수성구의 혁신과 성장 동력 창출을 위해 계획하고 있는 첨단 사업으로 인공지능과 신기술 등의 데이터를 접목해 수성구를 지능형 도시로 만들 계획""이라고 밝혔다.
          
          
         
        "
http://v.media.daum.net/v/20210819152734401," 
         
          
           
           
            스탠리 큐브릭 감독의 1968년작 '2001 스페이스 오디세이' 중 한 장면. 인류의 기원을 이야기하는 이 영화는 인공지능의 반란을 그린 선구적 작품이기도 하다.
           
          
          미국의 유명 출판 에이전트이자 문화 기획자인 존 브록만이 인공지능(AI)의 가능성과 위험, 한계를 주제로 25명의 과학사상가들에게 받은 글을 모았다. 브록만이 이들에게 제시한 화두는 AI의 토대가 된 사이버네틱스 개념을 처음으로 제시한 수학자 노버트 위너다. 위너는 인간이나 기계 모두 피드백 과정을 통해 항상성을 유지하면서 목적을 달성하는 존재라는 점을 강조하며 인간과 기계 사이의 경계를 무너뜨렸다. 
          브록만의 요청에 응한 25명의 필자들은 딥러닝 AI부터 언젠가 도래할 초지능 AI까지 다양한 주제를 다룬다. 같은 주제를 놓고 상반된 주장을 펼치는 글도 있다. 에스토니아 출신 컴퓨터 프로그래머 얀 탈린은 ""초지능 인공지능이 지구 환경을 생명체가 거주할 수 없는 환경으로 바꾸는 상황""을 염려하며 AI의 위험을 경고하는데, 심리학자 스티븐 핑커는 AI가 인간을 지배할 것이라는 SF 디스토피아가 과장됐으며 지나친 걱정이라고 반박한다. 
          
           
           
            인공지능은 무엇이 되려 하는가·스티븐 핑커 외 지음·김보은 옮김·프시케의 숲 발행·448쪽. 2만2,000원
           
          
          각 필자당 10~15쪽 정도의 짧은 글이어서 심도 깊은 논의가 이뤄지는 건 아니지만 컴퓨터 과학자부터 물리학자, 철학자, 심리학자, 미술사학자, 작가 등 여러 방면의 사상가들이 제시하는 다양한 관점을 접할 수 있다. 
          
          
         
        "
http://v.media.daum.net/v/20210730090007999," 
         
          
           
           
            유니스트 캠퍼스 전경
           
          
          인공지능(AI) 교육의 메카인 UNIST(울산과학기술원·총장 이용훈)가 동남권 산업체를 상대로 인공지능 혁신을 이어간다.
          UNIST는 30일 오전 9시 인공지능혁신파크 106동 대강당에서 ‘인공지능(AI) 노바투스 아카데미아’ 2기 입학식을 가졌다. AI 노바투스 아카데미아는 부울경 지역 산업체 재직자 대상 인공지능 교육 프로그램이다.
          이날 입학식에는 지역 산업체 재직자 37명이 참석했다. 이들은 지난 6월부터 진행된 모집일정에 따라 교육생으로 선발됐다.
          교육생들은 향후 5개월 동안의 교육과 실습을 통해 인공지능 산업전문가로 거듭나게 된다. 처음 2개월은 인공지능 이론 교육을 수강하고, 이후 3개월 간 기업의 실제 데이터를 활용한 실습과제를 구성해 프로젝트를 수행하는 방식이다.
          지난 6월 수료한 1기 교육생들은 실습 과제를 통해 공정 효율 향상과 원가 절감 등의 성과를 거뒀다. 삼양사 울산공장은 설탕 제조 공정에 대한 인공지능 모델을 구축해 제조 효율 향상을 기대하고 있다. 울산에 본사를 둔 IT솔루션 기업 ㈜스카이시스는 스마트 CCTV 개발을 위한 인공지능 모델을 개발해 비용 절감에 성공했다.
          심재영 인공지능혁신파크 사업단장(인공지능대학원 교수)은 “AI 노바투스 아카데미아는 지역 산업체의 실무진들이 인공지능을 활용해 실질적인 변화를 만들어낼 수 있도록 지원하고 있다”며 “지난 1기의 경험을 바탕으로 더 성숙하고 고도화된 프로그램을 수강하는 2기 교육생들은 더 큰 성장을 경험할 수 있을 것”이라고 전했다.
          2기 교육생들은 대기업 2명, 중견기업 5명, 중소기업 23명과 스타트업 및 기타 소속 7명으로 구성됐다. 이중 20명은 제조기업 소속으로 제조업 비율이 가장 높다. 바이오, IoT 등 신사업 분야가 7명, 인공지능, 빅테이터 등을 활용한 IT 솔루션 분야가 8명이며, 2명은 지역 공공기관 재직자다.
          이용훈 총장은 “AI 노바투스 아카데미아 수료생들은 인공지능이 산업 현장에 어떻게 적용될 수 있는지 직접 체험하며 변화의 가능성을 보았다”며 “UNIST 인공지능혁신파크는 울산을 비롯한 동남권 지역에 더 많은 디지털 혁신의 씨앗을 뿌려나갈 것”이라고 말했다.
          인공지능(AI) 노바투스 아카데미아 프로그램은 부울경 지역 사업장 소재의 기업 재직자를 대상으로 진행된다. 중견, 중소기업 소속의 재직자는 전액 국비로 교육비 지원을 받는다.
          
          
         
        "
http://v.media.daum.net/v/20210725102135553," 
         
          
           
           
            유니스트 캠퍼스 전경
           
          
          UNIST(총장 이용훈)가 울주군 고교생들을 상대로 인공지능(AI) 교육에 나섰다.
          울주군과 UNIST가 공동으로 진행하는 인공지능 교육 및 실습 프로그램, ‘A.I 4.0 Studio’를 통해서다.
          UNIST는 22, 23일 캠퍼스에서 ‘제1회 A.I 4.0 Studio’ 전체 모임을 열었다. 이번 모임에는 울주군 고교 2학년 학생 30명과 UNIST 재학생 20명이 자리했다.
          울주 A.I 4.0 Studio는 인공지능 미래 지역 인재 육성을 목표로 추진되는 사업으로 지난 5월 참가자를 모집, 현재 10개 팀 프로젝트가 구성돼 운영 중이다. 각 팀은 고등학생 멘티 3명과 UNIST 재학생 멘토 2명으로 이뤄져있다.
          5명으로 구성된 팀원들은 ▲진화 알고리즘 구현 ▲자율주차 시스템 구축 ▲생체 인식 보안시스템 구축 ▲인공지능을 활용한 드론 제작 ▲간이 자율주행 자동차 제작 등의 주제로 프로젝트를 진행 중이다.
          이틀 간 진행된 모임에서는 현재까지 진행된 프로젝트 진척 상황을 점검하고, 중간발표를 통해 성과를 공유했다. 발표가 끝난 후에는 UNIST 인공지능대학원의 심재영 교수, 고성안 교수의 특별강연도 진행됐다.
          참가 학생들은 “인공지능이 다양한 분야에 사용되고 있다고 들어서 관심이 생겼는데, 실제로 체험해 볼 수 있는 기회가 제공돼 좋았다”고 소감을 전했다.
          학생들은 앞으로 6개월 동안 자율적으로 프로젝트를 수행한 뒤 11월 최종 결과발표를 위한 모임을 갖는다.
          윤새라 학생처장은 “‘A.I 4.0 Studio’는 4차 산업혁명 시대를 앞서나가기 위해 다양한 노력을 기울이고 있는 울주군과 함께 구성한 의미 있는 프로그램”이라며 “4차 산업 및 인공지능 분야에서 국내 최고의 교수진과 학생들이 모여 있는 UNIST는 앞으로도 지역 인재 육성에 최선을 다할 것”이라고 밝혔다.
          
          
         
        "
http://v.media.daum.net/v/20210811153843412," 
         
          
           
           
            특허청 제공
           
          
          인공지능(AI)을 활용한 자율주행 차량 관련 기술 특허 출원이 급증하고 있다. AI에 기반한 완전한 자율주행 차량 관련 기술이 부각되고 있기 때문이다.
          11일 특허청에 따르면 매년 15건 이내에 불과했던 자율주행 분야 AI기술 특허출원이 2016년 31건을 기점으로 연평균 50% 이상 증가하면서 지난해 155건으로 5배 늘었다.
          이에 따라 전체 자율주행기술 출원 중 AI를 활용한 기술 출원의 비중도 커졌다. 2016년부터 지난해까지 전체 자율주행기술 출원은 2,860건에서 4,082건으로 연평균 9.3% 증가했다. 이 가운데 AI 관련 기술 출원 비율은 2016년 이전 1% 이내에 불과했지만 2019년에는 5%가 넘은 것으로 분석됐다.
          이는 최근 자율주행차 사고가 잇따라 발생하면서 AI를 활용해 안정성과 신뢰성을 높이려는 기술 수요가 커지기 때문이라는 게 특허청의 설명이다.
          특허청 자율주행심사팀 김희주 심사관은 ""인간이 신뢰할 수 있는 완전 자율주행을 구현하려면 인지 분야는 물론, 제어 분야에도 인공지능 활용이 필수적인 만큼 관련 분야 특허 출원도 늘어날 것으로 전망된다""고 말했다. 
          
          
         
        "
http://v.media.daum.net/v/20210721212631905," 
         
          
           
          
          유니콤넷(대표 최경식)은 2001년 설립된 회사로 국내 공공기관의 차세대 광대역자가통신망(BcN) 시장에서 선도적인 역할을 해 왔다. 4차 산업혁명 시대를 맞아 인공지능(AI) 기반 스마트시티 솔루션 전문회사로 도약하고 있다. 
          유니콤넷은 스쿨존 내 어린이 안전을 위해 인공지능 기반 스쿨존 안전관리 네트워크 솔루션도 개발했다. 이는 딥러닝 기반 인공지능 영상분석 모델을 통해 구현된 영상분석 엔진이 탑재된 네트워크 장치를 활용해 스쿨존 내 다수의 CCTV 영상을 실시간 분석하고 결과를 전달한다. 
          특히, AI가 다양한 객체(사람, 차량, 이륜차 등)를 탐지, 이상행동(쓰러짐, 배회, 침입, 싸움/폭력 등)을 감지하여 즉각 112와 119에 연계한다. 이에 따라 응급사항 발생 시 신속한 초기 대응이 가능하여 어린이 관련 범죄 예방 및 신속한 사고 처리에 획기적인 대응을 할 수 있다.
          본 솔루션의 하드웨어(광통신장비)와 소프트웨어(인공지능 영상분석)는 모두 순수 자체기술로 개발 및 상용화하여 공공기관에 납품 및 운용 중에 있으며 별도의 CCTV설치가 필요 없어 지자체의 예산절감 효과 또한 뛰어나다.
          유니콤넷은 해당 솔루션을 통해 어린이들이 안전한 환경을 조성하고, 딥러닝 기반 영상분석과 빅데이터 수집을 통해 지속적인 기술 진보와 동시에 인공지능 영상분야를 선도하고 있다.
          
         
        "
http://v.media.daum.net/v/20210916043209079," 
         
          
           편집자주
           물류센터는 추석을 앞두고 가장 붐비는 곳이다. 하루 수백 만개의 택배가 몰린다. 코로나19로 비대면 소비까지 늘어 물류회사들은 연일 '행복한 비명'을 지른다. 하지만 그 안에 있는 수 만 명의 노동자은 전혀 다른 목소리를 내고 있다. ""우리는 물건을 옮기는 기계가 아니다""라고. 그들의 현실을 직접 들여다봤다.
          
          
           
           
            민주노총 공공운수노조 전국물류센터지부 쿠팡물류센터지회와 쿠팡 노동자의 건강한 노동과 인권을 위한 대책위원회 관계자들이 6일 오전 서울 중구 국가인권위원회 앞에서 쿠팡 물류센터 노동자들의 물류센터 내 휴대전화 반입을 금지하는 정책 철회를 촉구하며 인권위에 민원을 제출하기 위해 이동하고 있다. 연합뉴스
           
          
          47톤.
          물류센터에서 일하는 노동자가 하루에 취급하는 물건의 무게다. 절반 정도는 장비의 도움을 받지만, 나머지는 맨몸으로 옮긴다. 근로복지공단 산하 병원에서 일하는 한 의사는 ‘허리가 나가서’(요추 염좌) 산업재해를 신청한 환자의 작업환경을 확인하러 물류센터를 찾았다가 47톤이란 숫자를 들었다고 했다. 당시 기억을 떠올리던 그는 ""이러다 사람이 죽을 수도 있겠구나 싶었다""고 말했다.
          일반 물품을 비롯해 농·축·수산물, 식품, 화학물 등을 보관하는 물류센터(전체 면적 4,500m² 이상)는 총 4,658개에 이른다. 작년 한 해에만 728개가 새로 생겼다. 코로나19 여파로 온라인 택배 주문이 급증하자 국내 온라인 배송시장 1위 업체 쿠팡을 필두로 네이버와 CJ 신세계 롯데 등 굴지의 대기업들이 전국 곳곳에 유통센터를 짓고 있다.
          
          크게 늘어난 최첨단 물류센터 
          물류센터에서 근무하는 노동자의 숫자도 덩달아 급증하고 있다. 쿠팡 물류센터에만 8만여 명이 일하고 있다. 삼성·현대차 등에 이어 고용 4위 기업이다. 고용시장이 얼어붙은 와중에 물류업체들이 일자리 창출에 크게 기여하고 있는 것이다. 더구나 최근 설립된 물류센터들은 더 이상 먼지가 날리는 창고가 아니다. 인공지능(AI) 시스템을 도입해 상품을 배치·관리하는 등 '빠른 배송'에 최적화된 첨단 IT 공장으로 진화하고 있다.
          그러나 이런 화려함 너머엔 짙은 그림자가 도사리고 있다. 사실 물류센터는 철저히 은폐된 공간이다. 김종진 한국노동사회연구원 선임연구위원은 ""그 흔한 연구 보고서도 하나 없을 정도로 내부 작업 환경이 제대로 공개된 적이 없다""고 했다. 일용직 계약직이 절대 다수여서 노동 현실을 알릴 주체가 없었고, 작업 시스템이 하루가 다르게 급변해 학계나 노동계에서도 현실을 파악할 겨를이 없었다. 그러다 올 들어 산재 사망사고와 대형 화재, 코로나19 집단감염이 잇따라 발생하며 물류센터의 노동 환경이 주목을 받기 시작했다.
          
          건설 노동자보다 더 혹사당하는 물류센터 노동자
          드러난 현실은 상상 그 이상이다. 김형렬 서울성모병원 직업환경의학과 교수 등이 쿠팡 물류센터 근로자 356명을 대상으로 첫 실태조사를 벌인 결과 10명 중 7명이 근육통과 전신피로를 호소했다. 건설현장의 근로자보다도 번아웃(탈진) 증상이 훨씬 심한 것으로 나타난 것이다. 냉난방 시설이 없어 더위나 추위에 매우 취약하다는 문제도 있다. 김 교수는 ""과거 중미에서 사탕수수 농장에서 일한 노동자들이 집단적으로 신장 기능에 이상이 생긴 상황과 유사하다""고 진단했다. 
          노동계에선 19세기 후반의 자동차 공장을 연상케 한다는 말이 나온다. 노동권이 확립되기 이전의 무법지대나 다름없는 상황이란 말이다. 이탄희 더불어민주당 의원은 ""물류센터는 사람을 부품처럼 쓰고 버리는 21세기형 공장""이라며 ""전태일 시대로 회귀하고 있는 것""이라고 했다. 
          한국일보는 15일 첫 실태조사 결과를 단독 입수하고, 하루 동안 일용직으로 취업해 물류센터 내부의 깊고 어두운 현실을 직접 들여다봤다. 그곳의 노동자들은 말했다. ""우리는 물건을 옮기는 기계가 아니다.""
          관련기사
          ☞ 효율 끝판왕 쿠팡 물류센터... ""나는 '톱니바퀴'가 됐다""(https://www.hankookilbo.com/News/Read/A2021091513200002134)
          ☞ ""물류센터=저장창고?... 정부는 낡은 인식부터 바꿔야""(https://www.hankookilbo.com/News/Read/A2021091516300000904)
          
          
         
        "
http://v.media.daum.net/v/20210916043125071," 
         
          
           편집자주
           물류센터는 추석을 앞두고 가장 붐비는 곳이다. 하루 수백만 개의 택배가 몰린다. 코로나19로 비대면 소비까지 늘어 물류회사들은 연일 '행복한 비명'을 지른다. '빠른 배송'을 앞세우며 속도 경쟁에도 불이 붙었다. 하지만 그 안에 있는 수만 명의 노동자들은 말한다. ""우리는 물건을 옮기는 기계가 아니다""라고. 그들의 현실을 직접 들여다봤다.
          
          
           
           
            쿠팡 물류센터는 로켓배송을 위해 하루 10번 마감한다. 그때마다 근무자에게 주어지는 PDA에는 빨리 공정을 마무리해달라는 경고 메시지가 뜬다. 토트풀은 플라스틱 상자를 채웠다는 의미다. 독자 제공
           
          
          ""조금만 빨리 걸으실게요."" ""일단 던져요, 던져!""
          오후 3시가 가까워오자 관리자들이 다가와 소리를 지른다. 마감을 재촉하는 방송이 나오고 손에 쥔 PDA(개인정보단말기)에는 ‘토트(플라스틱 상자)를 빨리 옮겨주세요’라는 긴급 메시지가 뜬다. 곳곳에 ‘뛰지 마세요’라는 경고문구가 붙어 있지만, 수천 명의 직원들이 허겁지겁 달리며 물건을 옮기고 있다. 주간에는 4번, 야간엔 6번 이런 '마감 전쟁'이 벌어진다. 다음날 아침 6시 현관 앞에 도착하는 ‘로켓배송’을 위해서다. 이곳은 쿠팡이 자랑하는 5대 메가 물류센터 중 한 곳인 고양센터다.
          쿠팡은 물류혁신을 선도하는 기업이다. 4,000여 개가 넘는 전국의 물류센터 가운데 풀필먼트(상품 보관·포장, 출하, 배송 등 일괄 처리) 시스템을 처음 도입했다. 약속한 시간에 배송이 완료되는, '도달률 99%'의 비결도 여기에 있다고 홍보한다. 하지만 과도한 노동과 비인간적 통제의 결과라는 비난도 나온다. 이곳에선 무슨 일이 벌어지고 있는 것일까. 단일센터로는 최대 규모(연면적 13만2,231㎡)인 고양센터에 직접 찾아가봤다. 
          
           
           
            경기 고양 쿠팡물류센터 모습. 한 층은 다시 3개의 메자닌 층으로 나뉘어 있다. 조소진 기자
           
          
          
          1초도 쉬지 않고 지시하는 '쿠파고' 
          ‘취업’은 쉬웠다. 아르바이트 모집 사이트를 보니 쿠팡 직원을 모집하는 공고만 수십 개에 달했다. 오후 6시에 일용직 지원 문자를 보냈는데 다섯 시간 후 합격을 알리는 전화가 왔다. 휴대폰 반입금지, 투명 물병 외 반입 금지 등 주의사항을 알리는 문자도 왔다. 출근 날짜는 바로 다음날 아침이었다.
          오전 8시 간단한 교육 후 업무가 시작됐다. 물류센터 일은 크게 4가지(입고·재고 정리·출고·집품)로 나뉘는데, 그중 집품에 투입됐다. 작업장에 도착하자 개인마다 지급된 PDA 화면에 ‘43B11-120-102 푸룬주스(946ml) 5개’라는 글자가 떴다. 첫 지시였다. 4-3층 B11열 120행 첫 번째 줄에 가서 상품을 카트 위 토트에 넣으라는 의미다. 상품을 토트에 넣으니 1초 만에 또 다른 숫자가 뜬다. 빨리 이동하라는 지시다.
          
           
           
            쿠팡 물류센터에서 일했던 한 직원은 ""쿠파고가 시키는 대로 일을 해야 했다""며 ""14L짜리 세제를 레일 위로 올릴 자신이 없어 토트풀(집품완료)을 하려고 했는데, 이런 경고음이 떠서 지시에 따를 수밖에 없었다""고 말했다. 독자 제공
           
          
          
          ""좀 느리세요, 속도 좀 내줘요"" 속도압박 심해 
          
           
           
            쿠팡 물류센터에서의 일은 크게 입고, ICQA, 출고, 허브로 나뉜다. 쿠팡 공정 설명 캡처
           
          
          센터 안에서의 업무는 모두 이런 식으로 숫자화돼 있다. 사람이 아니라 ‘쿠파고(쿠팡+알파고)’라 불리는 인공지능(AI)이 내리는 지시다. AI만 재촉하는 건 아니다. 점심시간이 지나니 노란 조끼를 입은 PS(문제 해결) 직원이 세 번이나 찾아와 말했다. ""조금만 더 속도를 내실게요. 좀 느리세요."" 이동시간을 아끼기 위해 한 번에 토트를 많이 싣고 나가라는 말도 덧붙였다. 
          이런 지시가 가능한 것은 직원들의 움직임이 모두 기록되고 있어서다. 작업장 가운데에 있는 관리자 컴퓨터에는 직원들의 HTP(시간당 생산량)가 실시간으로 업데이트된다. 과거엔 직원들이 들고 다니는 PDA에도 이 수치가 떴는데, 감시 논란으로 그나마 개선된 것이다.
          동료들의 관심사도 대부분 ‘속도’에 맞춰져 있다. 포장업무를 담당하는 한모(33)씨는 ""화장실에 다녀오느라 10분 동안 속도가 안 났는데, 직원이 찾아와 '유휴시간 없게 해달라'라고 했다""고 말했다. 단지 압박으로만 끝나는 건 아니다. 이런 지적을 많이 받으면 어떤 불이익이 돌아올지 모른다. 한씨는 ""다음날 '출확(출근 확정)'을 안 주면 속도 때문에 그런가 생각하게 될 수밖에 없다""고 말했다. 쿠팡 물류센터의 70%는 일용직 노동자다. 계약직은 25%, 정규직은 3%가 채 안 된다. 일용직은 매일 근무를 지원한 뒤 '출근 확정' 통보를 기다린다. 계약직도 3개월, 9개월, 12개월 단위로 계약이 이뤄진다. 일하는 속도가 중요할 수밖에 없는 이유다.
          
          쉬는 시간 따로 없고... 휴게 공간도 열악 
          
           
           
            작업장 한쪽에 마련된 쿠팡 물류센터의 휴게실. 문을 나가면 바로 작업장이다. 밤 11시인데도 휴게실 온도는 31도를 기록했다. 쿠팡 노조 제공
           
          
          9시간 근무 중 쉬는 시간은 점심시간 1시간뿐이었다. 다리와 허리가 아프다고 하니 PS직원은 ""오래 쉬면 이름 적어 가니까 눈치껏 쉬라""고 했다. 위치 바코드를 찍어놓고 박스를 뜯을 때 1분씩 앉아있으라는 팁도 줬다. 화장실에 자주 갈 것 같아 목마른 것을 참고, 다녀온 시간만큼 더 뛰어다녀야 하니 정수기 근처에도 안 가게 됐다.
          쉴 공간도 마땅치 않았다. 지상 7층, 축구장 17개에 이르는 건물 내에 에어컨이 나오는 휴게실은 4곳뿐이다. 그래서 대부분 작업장 옆 의자에 앉아 쉰다. 그나마 이곳은 사정이 낫다고 했다. 한 동료는 ""서울 장지센터에서 야간조로 일했는데, 거기는 식사시간이 30분이고 식당 줄이 길어 도로변에서 밥을 먹었다""고 전했다.
          '친구와 오면 보너스' '일주일에 3회 이상 출근하면 10만 원'. 오후 6시 일을 마칠 무렵 채용 공고에 떴던 인센티브가 떠올랐다. 방학 동안 쿠팡에서 일한 대학생 이재원(22)씨는 “처음에는 일자리도 주고, 돈도 준다니 신기했는데 일을 해보니 이유를 알겠다”며 “허리가 끊어질 것 같아서 도망가는 ‘추노’가 한두 명이 아니기 때문”이라고 했다. 다음날 통장을 보니 8만2,180원이 입금돼 있었다. 최저임금(시급 8,720원)에 1시간 연장근무 수당을 합한 금액이었다.
          관련기사
          ☞ 1인당 하루 47톤 옮기는 물류센터 노동자의 절규... ""우리는 기계가 아니다"" (https://www.hankookilbo.com/News/Read/A2021091316390004062)
          ☞ [단독] 로켓배송에 '갈리는' 노동자 ... 10명 중 7명 ""근육통·전신피로""(https://www.hankookilbo.com/News/Read/A2021091409330000200)
          ☞""물류센터=저장창고?... 정부는 낡은 인식부터 바꿔야""(https://www.hankookilbo.com/News/Read/A2021091516300000904)
          
          
         
        "
